學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
111,1050,佛光大學,4131030,管理學系,D 日,B 學士,165,82,83,19,14,18,27,16,14,24,25,0,0,0,0,0,0,5,3,02 宜蘭縣,1 一般
111,1050,佛光大學,4131030,管理學系,N 職,M 碩士,36,21,15,12,11,4,2,3,0,0,1,2,1,0,0,0,0,0,0,02 宜蘭縣,1 一般
111,1050,佛光大學,4131030,管理學系碩士在職現役軍人營區專班,N 職,M 碩士,9,8,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,02 宜蘭縣,1 一般
111,1011,中華大學,4131017,管理學院,P 進,B 學士,60,42,18,19,8,2,2,10,5,6,3,0,0,0,0,0,0,5,0,18 新竹市,1 一般
111,25,國立臺北科技大學,4199021,管理學院_EMBA碩士在職專班,N 職,M 碩士,39,32,7,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,25,國立臺北科技大學,4131015,管理學院_外國學生專班IMBA專班,D 日,M 碩士,38,7,31,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,25,國立臺北科技大學,4199021,管理學院_外國學生專班IMBA專班,D 日,M 碩士,25,11,14,0,3,6,9,4,2,1,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,25,國立臺北科技大學,7191022,管理學院_工業工程與管理EMBA東莞境外專班,N 職,M 碩士,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,25,國立臺北科技大學,4131011,管理學院_經營管理EMBA泰國境外專班,N 職,M 碩士,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,25,國立臺北科技大學,4199021,管理學院_金融科技與創新創業外國學生(IMFI)專班,D 日,M 碩士,8,2,6,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,53,國立高雄科技大學,4199063,管理學院_高階主管經營管理碩士在職專班,N 職,M 碩士,12,11,1,3,0,5,1,2,0,1,0,0,0,0,0,0,0,0,0,50 高雄市,2 技職
111,9,國立中山大學,4199068,管理學院EMBA,N 職,M 碩士,233,150,83,83,35,64,48,2,0,1,0,0,0,0,0,0,0,0,0,50 高雄市,1 一般
111,22,國立臺灣科技大學,4199013,管理學院MBA,D 日,M 碩士,110,40,70,15,27,18,34,6,6,1,3,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,48,國立金門大學,10152011,管理學院事業經營碩士在職專班,N 職,M 碩士,52,22,30,9,15,7,13,5,2,1,0,0,0,0,0,0,0,0,0,71 金門縣,1 一般
111,48,國立金門大學,10152011,管理學院事業經營碩士在職專班現役軍人營區碩士在職專班,N 職,M 碩士,16,12,4,1,0,8,3,2,1,1,0,0,0,0,0,0,0,0,0,71 金門縣,1 一般
111,7,國立陽明交通大學,4131016,管理學院企業管理碩士學位學程,D 日,M 碩士,74,27,47,14,22,12,14,1,9,0,2,0,0,0,0,0,0,0,0,18 新竹市,1 一般
111,3,國立臺灣大學,4131028,管理學院企業管理碩士專班,D 日,M 碩士,181,92,89,39,38,34,28,14,16,5,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,53,國立高雄科技大學,4131119,管理學院企業管理高階經營管理碩士在職專班,N 職,M 碩士,35,20,15,11,7,9,7,0,1,0,0,0,0,0,0,0,0,0,0,50 高雄市,2 技職
