"學年度","細學類","細學類名稱","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生"
111,01111,綜合教育細學類,教育學系生命教育碩士班,D 日,M 碩士,54,11,43,4,9,2,11,0,11,4,9,0,1,1,2,0,0,0,0
111,01111,綜合教育細學類,教育學系教育行政碩士在職專班,N 職,M 碩士,29,11,18,1,5,4,8,2,4,4,0,0,1,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系教育行政碩士在職專班(夜間班),N 職,M 碩士,59,27,32,8,5,8,15,7,4,2,3,1,3,0,1,1,1,0,0
111,01111,綜合教育細學類,教育學系教育行政碩士學位在職進修專班,N 職,M 碩士,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,01111,綜合教育細學類,教育學系教育行政與政策發展碩士在職專班,N 職,M 碩士,46,10,36,4,3,1,18,2,8,3,7,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系教育行政與政策發展碩士班,D 日,M 碩士,32,8,24,3,9,2,7,1,1,2,7,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系教育行政與管理碩士在職專班,N 職,M 碩士,57,13,44,2,13,2,10,2,8,6,5,1,7,0,1,0,0,0,0
111,01111,綜合教育細學類,教育學系教育研究博士班,D 日,D 博士,17,13,4,2,1,2,1,3,1,2,0,3,0,1,0,0,1,0,0
111,01111,綜合教育細學類,教育學系教育研究碩士在職專班,N 職,M 碩士,103,18,85,1,14,6,26,8,18,3,27,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系教育研究碩士班,D 日,M 碩士,82,26,56,6,15,7,13,6,12,6,14,1,2,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系教育創新與評鑑碩士在職專班,N 職,M 碩士,58,9,49,6,17,0,23,2,5,1,2,0,2,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系教育創新與評鑑碩士班,D 日,M 碩士,58,10,48,2,15,2,10,5,9,1,11,0,2,0,1,0,0,0,0
111,01111,綜合教育細學類,教育學系教育經營與管理博士班,D 日,D 博士,53,21,32,4,5,2,5,4,2,5,4,0,5,2,3,4,8,0,0
111,01111,綜合教育細學類,教育學系教育經營與管理碩士班,D 日,M 碩士,39,8,31,0,10,2,10,4,3,2,6,0,0,0,2,0,0,0,0
111,01111,綜合教育細學類,教育學系教育管理與課程教學領導碩士在職專班,N 職,M 碩士,17,2,15,0,0,1,15,0,0,1,0,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系教育領導與政策碩士在職專班,N 職,M 碩士,85,18,67,3,25,4,18,4,12,3,4,1,4,3,4,0,0,0,0
111,01111,綜合教育細學類,教育學系教育數位評量與數據分析碩士班,D 日,M 碩士,13,4,9,3,3,0,5,1,1,0,0,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系教學科技碩士班,D 日,M 碩士,28,11,17,4,9,1,4,3,4,3,0,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系測驗統計博士班,D 日,D 博士,17,11,6,0,2,2,0,0,1,2,1,2,0,3,1,2,1,0,0
111,01111,綜合教育細學類,教育學系數理教育碩士在職專班,N 職,M 碩士,29,14,15,2,6,6,5,6,2,0,2,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系數理教育碩士班,D 日,M 碩士,36,20,16,3,2,5,6,3,4,9,4,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系課程與教學教學碩士班,N 職,M 碩士,53,5,48,2,11,0,19,2,10,0,5,1,3,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系課程與教學博士班,D 日,D 博士,32,5,27,1,4,1,6,1,3,0,5,0,3,0,3,2,3,0,0
111,01111,綜合教育細學類,教育學系課程與教學碩士在職專班,N 職,M 碩士,141,24,117,8,36,9,35,4,22,2,16,1,4,0,4,0,0,0,0
111,01111,綜合教育細學類,教育學系課程與教學碩士在職專班(澎湖班),N 職,M 碩士,3,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
111,01111,綜合教育細學類,教育學系課程與教學碩士班,D 日,M 碩士,103,19,84,5,25,4,23,5,21,5,9,0,5,0,1,0,0,0,0
111,01111,綜合教育細學類,教育學系課程與教學碩士班(夜間班),N 職,M 碩士,43,3,40,3,11,0,13,0,5,0,5,0,2,0,4,0,0,0,0
111,01111,綜合教育細學類,教育學系課程與教學領導碩士在職專班,N 職,M 碩士,3,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系學校行政教師碩士在職專班,N 職,M 碩士,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系學校行政碩士在職專班(暑期班),N 職,M 碩士,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
111,01111,綜合教育細學類,教育學系學校行政領導碩士班,N 職,M 碩士,11,4,7,1,1,0,0,1,5,1,0,1,0,0,1,0,0,0,0
111,01111,綜合教育細學類,教育學系學校經營與管理教學碩士班,N 職,M 碩士,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
111,01111,綜合教育細學類,教育學系諮商心理碩士在職專班,N 職,M 碩士,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
111,01111,綜合教育細學類,教育學研究所教育學博士班,D 日,D 博士,33,20,13,3,4,3,3,2,0,4,0,3,3,2,0,3,3,0,0
